date,price_A,price_B
2020-07-03,120.9557,91.6821
2020-07-06,122.3962,92.2663
2020-07-07,121.9641,92.0615
2020-07-08,119.6841,90.7173
2020-07-09,118.4481,89.8007
2020-07-10,118.7826,90.0827
2020-07-13,119.7651,90.8409
2020-07-14,121.9091,92.6729
2020-07-15,125.6975,95.413
2020-07-16,126.3934,95.8092
2020-07-17,124.8087,94.8659
2020-07-20,122.4571,92.8647
2020-07-21,123.3405,93.1136
2020-07-22,122.3634,92.3597
2020-07-23,121.7387,91.9769
2020-07-24,120.9494,91.4156
2020-07-27,120.9236,91.287
2020-07-28,121.72,92.2653
2020-07-29,121.9817,92.4103
2020-07-30,121.713,92.2639
2020-07-31,120.9796,91.3133
2020-08-03,118.9259,89.7968
2020-08-04,118.7577,89.3612
2020-08-05,118.3323,89.3131
2020-08-06,120.5214,90.9061
2020-08-07,120.7089,91.0246
2020-08-10,121.6038,91.9236
2020-08-11,121.0394,91.4658
2020-08-12,119.9288,90.3883
2020-08-13,118.6587,89.5202
2020-08-14,117.3477,88.8733
2020-08-17,119.8549,90.7852
2020-08-18,118.6828,90.0426
2020-08-19,119.6332,90.8008
2020-08-20,118.6082,89.9846
2020-08-21,119.3207,90.8268
2020-08-24,119.4699,91.1771
2020-08-25,119.5547,91.0344
2020-08-26,119.4835,90.9973
2020-08-27,118.1718,90.4034
2020-08-28,119.0854,90.8076
2020-08-31,118.7532,90.3953
2020-09-01,117.246,89.2942
2020-09-02,115.5533,88.1603
2020-09-03,116.111,88.3126
2020-09-04,118.1241,89.7182
2020-09-07,118.9883,89.8619
2020-09-08,118.9334,89.7553
2020-09-09,119.331,90.0122
2020-09-10,120.7829,91.1955
2020-09-11,121.2193,91.3958
2020-09-14,120.8348,91.021
2020-09-15,122.3991,92.0336
2020-09-16,122.6752,92.429
2020-09-17,124.3519,93.8594
2020-09-18,124.4071,94.0316
2020-09-21,123.0976,92.8872
2020-09-22,121.7902,91.625
2020-09-23,123.5618,93.1502
2020-09-24,125.4941,94.7698
2020-09-25,125.3122,94.5998
2020-09-28,124.733,94.238
2020-09-29,126.7477,95.6253
2020-09-30,124.7454,94.5726
2020-10-01,123.4675,93.7302
2020-10-02,124.1079,94.3351
2020-10-05,123.1078,93.9636
2020-10-06,123.0018,93.9588
2020-10-07,122.7288,93.8053
2020-10-08,123.2596,94.1225
2020-10-09,125.4305,95.4566
2020-10-12,125.5729,95.5432
2020-10-13,126.2011,96.1604
2020-10-14,123.7623,94.209
2020-10-15,124.0685,94.1631
2020-10-16,122.8401,93.3724
2020-10-19,121.2136,92.2413
2020-10-20,120.4049,91.4348
2020-10-21,120.0161,91.1298
2020-10-22,121.334,91.9683
2020-10-23,119.7865,90.7565
2020-10-26,120.0287,90.7843
2020-10-27,119.1939,90.3458
2020-10-28,118.8423,90.0503
2020-10-29,119.9995,90.9578
2020-10-30,120.3622,91.4486
2020-11-02,121.6374,92.6798
2020-11-03,121.7439,92.5368
2020-11-04,120.8974,91.895
2020-11-05,120.4489,91.6895
2020-11-06,120.8179,91.9121
2020-11-09,121.4092,92.0746
2020-11-10,119.5778,91.0815
2020-11-11,119.4194,91.164
2020-11-12,119.6076,91.3723
2020-11-13,123.1717,93.7017
2020-11-16,125.6407,95.477
2020-11-17,124.8482,94.6658
2020-11-18,124.2351,94.3941
2020-11-19,122.2339,93.0228
2020-11-20,121.7325,92.4749
2020-11-23,122.1949,92.7672
2020-11-24,123.8537,93.8926
2020-11-25,122.948,93.2106
2020-11-26,122.2602,92.6028
2020-11-27,119.7602,90.6356
2020-11-30,119.7759,90.4883
2020-12-01,118.7185,89.532
2020-12-02,117.646,89.0592
2020-12-03,116.0815,88.2817
2020-12-04,116.3237,88.1985
2020-12-07,114.6748,86.6618
2020-12-08,112.7723,85.3997
2020-12-09,114.7226,87.2376
2020-12-10,113.3927,86.1216
2020-12-11,112.4872,85.1822
2020-12-14,115.0325,86.7614
2020-12-15,118.4548,89.3189
2020-12-16,116.9603,88.2785
2020-12-17,116.2835,87.9541
2020-12-18,116.6856,88.255
2020-12-21,118.6164,89.7939
2020-12-22,117.2278,88.9121
2020-12-23,117.516,88.6943
2020-12-24,118.8405,89.3865
2020-12-25,119.5471,89.7759
2020-12-28,118.7577,89.4389
2020-12-29,118.752,89.3192
2020-12-30,117.2406,88.0996
2020-12-31,116.9817,87.89
2021-01-01,116.8949,87.6562
2021-01-04,117.1903,87.86
2021-01-05,116.6107,87.3734
2021-01-06,117.1669,87.7864
2021-01-07,118.2697,88.6799
2021-01-08,117.8577,88.8179
2021-01-11,118.2309,89.1308
2021-01-12,118.1007,89.1782
2021-01-13,117.7515,89.1783
2021-01-14,117.3712,88.5371
2021-01-15,118.1381,88.8178
2021-01-18,118.2778,88.7314
2021-01-19,120.6536,90.6083
2021-01-20,122.7452,92.0452
2021-01-21,123.0595,92.401
2021-01-22,122.0673,91.6986
2021-01-25,120.3506,90.6842
2021-01-26,121.8,91.7708
2021-01-27,122.0599,92.0123
2021-01-28,122.2422,92.4551
2021-01-29,120.1435,90.8562
2021-02-01,121.2195,91.7027
2021-02-02,122.2192,92.1204
2021-02-03,121.0599,91.1031
2021-02-04,120.4185,90.6745
2021-02-05,120.7177,90.914
2021-02-08,120.7172,90.9617
2021-02-09,120.2555,90.6963
2021-02-10,119.8092,90.6025
2021-02-11,119.4707,90.3745
2021-02-12,119.4624,90.5125
2021-02-15,120.9168,91.8542
2021-02-16,118.0898,89.5266
2021-02-17,117.9552,89.3148
2021-02-18,117.727,89.4726
2021-02-19,118.1224,89.7379
2021-02-22,118.0175,89.4047
2021-02-23,116.2923,87.8479
2021-02-24,116.916,88.1365
2021-02-25,118.8751,89.6721
2021-02-26,116.8436,88.3072
2021-03-01,117.5575,89.0733
2021-03-02,117.2986,88.7811
2021-03-03,117.3407,88.7267
2021-03-04,116.4608,87.7974
2021-03-05,116.3146,87.5043
2021-03-08,117.6916,88.6493
2021-03-09,117.986,89.1673
2021-03-10,119.9207,90.7254
2021-03-11,121.376,91.7999
2021-03-12,121.8447,92.2039
2021-03-15,123.8091,93.826
2021-03-16,124.4331,94.2388
2021-03-17,125.3342,95.0223
2021-03-18,124.8356,94.7409
2021-03-19,125.0425,94.804
2021-03-22,124.1119,94.1451
2021-03-23,125.4297,95.0814
2021-03-24,124.0759,93.9676
2021-03-25,124.7567,94.7056
2021-03-26,124.4499,94.5252
2021-03-29,126.3239,95.6389
2021-03-30,126.9661,96.3597
2021-03-31,128.7709,98.1301
2021-04-01,129.3438,98.8499
2021-04-02,127.5086,97.3081
2021-04-05,127.57,97.2429
2021-04-06,126.1849,96.1099
2021-04-07,125.9537,95.6131
2021-04-08,127.2138,97.069
2021-04-09,128.2576,97.6898
2021-04-12,127.8735,97.0094
2021-04-13,126.3477,96.031
2021-04-14,126.3606,96.0625
2021-04-15,124.7314,94.9009
2021-04-16,123.7676,94.2661
2021-04-19,124.1759,94.5607
2021-04-20,126.0726,95.6595
2021-04-21,127.3393,96.2436
2021-04-22,124.3886,94.0634
2021-04-23,125.2315,94.3502
2021-04-26,125.2487,94.4182
2021-04-27,126.1338,94.8098
2021-04-28,127.9955,96.3545
2021-04-29,125.3686,94.3869
2021-04-30,124.6458,93.8306
2021-05-03,126.0851,94.3867
2021-05-04,124.1838,92.9056
2021-05-05,125.6037,94.287
2021-05-06,126.1592,94.635
2021-05-07,126.9551,95.4395
2021-05-10,126.001,94.8962
2021-05-11,127.1517,95.6716
2021-05-12,128.3871,96.6993
2021-05-13,128.6567,96.9247
2021-05-14,128.8648,97.1522
2021-05-17,129.2134,97.4152
2021-05-18,128.153,96.5778
2021-05-19,127.391,96.4354
2021-05-20,127.3662,96.2884
2021-05-21,127.5704,96.6583
2021-05-24,128.4778,97.6296
2021-05-25,127.1879,96.6016
2021-05-26,127.1073,96.4809
2021-05-27,128.847,97.9209
2021-05-28,128.1782,97.1954
2021-05-31,126.8263,96.3995
2021-06-01,127.0452,96.5947
2021-06-02,128.0347,97.4138
2021-06-03,128.1213,97.4249
2021-06-04,129.9607,98.7283
2021-06-07,130.8623,99.5779
2021-06-08,132.223,100.4197
2021-06-09,133.0094,100.9777
2021-06-10,135.6556,103.3556
2021-06-11,134.9801,103.1438
2021-06-14,132.4714,101.0979
2021-06-15,134.6737,102.7328
2021-06-16,134.16,102.2637
2021-06-17,134.4054,102.374
2021-06-18,136.3119,103.7235
2021-06-21,134.4835,102.0748
2021-06-22,132.5799,100.8052
2021-06-23,130.2649,99.2039
2021-06-24,129.064,98.4192
2021-06-25,129.824,98.8528
2021-06-28,130.9116,99.3723
2021-06-29,131.1972,99.6473
2021-06-30,128.7911,98.2494
2021-07-01,125.5706,96.0057
2021-07-02,125.5987,96.0579
2021-07-05,125.0468,95.6058
2021-07-06,125.6879,96.046
2021-07-07,126.7405,96.7226
2021-07-08,126.9742,96.8564
2021-07-09,128.3329,97.5954
2021-07-12,128.5274,97.8194
2021-07-13,129.0725,98.3393
2021-07-14,128.4038,97.6487
2021-07-15,127.8603,97.4735
2021-07-16,128.3282,97.6655
2021-07-19,129.4891,98.4702
2021-07-20,129.0212,98.0832
2021-07-21,130.1596,98.5957
2021-07-22,129.663,98.334
2021-07-23,130.0611,98.2185
2021-07-26,131.0148,99.0366
2021-07-27,128.1119,97.0823
2021-07-28,126.5173,95.8317
2021-07-29,124.4193,94.4218
2021-07-30,121.4425,92.2439
2021-08-02,120.799,91.6203
2021-08-03,121.8793,92.3096
2021-08-04,121.3967,92.047
2021-08-05,121.9217,92.2292
2021-08-06,123.5262,93.2393
2021-08-09,125.4679,94.4854
2021-08-10,125.4291,94.4201
2021-08-11,127.3538,95.7069
2021-08-12,126.8595,95.7951
2021-08-13,125.6947,94.9963
2021-08-16,124.7143,94.4333
2021-08-17,122.9473,93.0455
2021-08-18,121.734,92.2228
2021-08-19,121.2849,91.8932
2021-08-20,122.7524,92.6346
2021-08-23,124.7537,94.2424
2021-08-24,123.1441,92.9488
2021-08-25,123.5173,93.3146
2021-08-26,122.2518,92.3487
2021-08-27,122.797,92.7881
2021-08-30,122.729,92.6665
2021-08-31,120.8035,90.9853
2021-09-01,122.2532,91.8339
2021-09-02,121.4908,91.28
2021-09-03,120.8939,90.7939
2021-09-06,119.225,89.8278
2021-09-07,118.3785,89.242
2021-09-08,119.0647,89.6247
2021-09-09,118.9878,89.4552
2021-09-10,119.3276,89.7497
2021-09-13,119.8853,90.0751
2021-09-14,121.4572,91.2726
2021-09-15,121.2449,90.9603
2021-09-16,119.4462,89.6268
2021-09-17,120.4761,90.5884
2021-09-20,120.0728,90.2886
2021-09-21,120.5452,91.3006
2021-09-22,121.1189,91.6513
2021-09-23,120.0379,91.5312
2021-09-24,120.1476,91.851
2021-09-27,122.7905,93.6606
2021-09-28,125.6023,95.6263
2021-09-29,125.4918,95.6927
2021-09-30,125.6365,95.8461
2021-10-01,127.4678,96.8832
2021-10-04,126.3509,96.0673
2021-10-05,127.4133,96.3878
2021-10-06,127.3652,96.3629
2021-10-07,127.8499,96.6659
2021-10-08,127.1929,95.8636
2021-10-11,125.1815,94.3519
2021-10-12,122.3369,92.4161
2021-10-13,120.9467,91.3892
2021-10-14,120.3743,90.971
2021-10-15,119.6651,90.7047
2021-10-18,121.9415,92.4789
2021-10-19,123.1288,93.5074
2021-10-20,122.2602,92.6121
2021-10-21,122.7072,92.9347
2021-10-22,122.1595,92.5572
2021-10-25,121.8137,92.2943
2021-10-26,122.1166,92.4655
2021-10-27,123.0325,93.0398
2021-10-28,122.3572,92.7247
2021-10-29,123.407,93.7164
2021-11-01,122.364,92.6523
2021-11-02,122.2784,92.6582
2021-11-03,125.1125,95.0967
2021-11-04,125.573,95.3091
2021-11-05,127.5253,96.6849
2021-11-08,127.2738,96.7734
2021-11-09,128.139,97.3371
2021-11-10,128.31,97.2819
2021-11-11,128.2118,97.1162
2021-11-12,127.3979,96.3622
2021-11-15,127.5629,96.7777
2021-11-16,126.615,95.9571
2021-11-17,127.389,96.5979
2021-11-18,128.6626,97.652
2021-11-19,129.3901,98.0106
2021-11-22,129.4057,97.7304
2021-11-23,130.3909,98.1751
2021-11-24,130.2259,97.8725
2021-11-25,131.2558,98.7924
2021-11-26,128.8999,96.9996
2021-11-29,128.5611,96.6746
2021-11-30,125.9916,94.769
2021-12-01,124.0863,93.3627
